fips_code,2023_unemployment_rate,2024_unemployment_rate
21213,4.1,4.9
21215,4.0,4.4
21217,4.3,5.1
21219,3.8,4.4
21221,4.8,5.2
21223,3.9,4.4
21225,4.0,4.4
21227,3.9,4.4
21229,3.5,4.0
21231,5.5,6.0
21233,4.6,5.3
21235,4.4,5.0
21237,8.2,8.8
21239,3.3,3.7
22001,3.6,4.2
22003,4.2,4.8
22005,3.0,3.5
22007,4.0,4.3
22009,4.2,4.7
22011,3.5,4.1
22013,4.9,5.7
22015,3.3,3.9
22017,4.0,4.5
22019,3.8,4.5
22021,4.4,5.5
22023,3.7,4.5
22025,4.5,5.4
22027,4.8,6.0
22029,5.1,6.4
22031,4.1,4.8
22033,3.7,4.2
22035,11.8,12.5
22037,4.0,4.6
22039,4.0,4.8
22041,5.1,5.6
22043,3.7,4.3
22045,4.0,4.5
22047,4.5,4.9
22049,4.2,5.0
22051,3.5,3.9
22053,3.8,4.8
22055,3.0,3.5
22057,3.1,3.7
22059,3.2,3.6
22061,3.8,4.6
22063,3.2,3.7
22065,5.8,7.1
22067,6.0,6.6
22069,4.8,5.4
22071,4.4,4.9
22073,3.9,4.5
22075,3.1,3.8
22077,4.1,4.6
22079,3.4,4.0
22081,4.2,5.0
22083,4.7,5.4
22085,4.1,5.0
22087,4.2,4.7
22089,3.2,3.6
22091,5.8,6.5
22093,4.3,5.0
22095,4.5,5.1
22097,4.4,5.0
22099,3.3,4.0
22101,4.0,4.9
22103,3.2,3.8
22105,4.2,4.8
22107,5.5,7.6
22109,3.3,3.9
22111,4.6,5.3
22113,3.4,4.0
22115,4.2,4.8
22117,4.0,4.8
22119,4.6,5.3
22121,3.5,4.0
22123,5.8,7.3
22125,2.5,2.9
22127,4.1,5.2
23001,2.7,3.1
23003,3.6,4.1
23005,2.1,2.4
23007,3.3,3.7
23009,3.1,3.4
23011,2.4,2.9
23013,2.7,3.3
23015,2.6,3.1
23017,2.9,3.4
23019,2.8,3.2
23021,4.2,5.0
23023,2.1,2.4
23025,3.8,3.9
23027,3.0,3.4
23029,4.1,4.7
23031,2.4,2.7
24001,3.4,4.7
24003,2.0,2.8
24005,2.4,3.3
24009,2.0,2.8
24011,2.3,3.2
24013,1.8,2.5
24015,2.5,3.5
24017,2.3,3.3
24019,2.6,3.7
24021,1.9,2.7
24023,2.7,3.6
24025,2.1,2.9
24027,1.9,2.7
24029,2.7,3.6
24031,1.9,2.8
24033,2.4,3.4
24035,1.9,2.6
24037,2.1,2.9
24039,3.1,4.2
24041,2.4,3.4
24043,2.6,3.5
24045,2.6,3.6
24047,3.5,4.4
24510,3.0,4.3
25001,4.4,4.7
25003,3.7,4.0
25005,4.2,4.6
25007,4.4,4.8
25009,3.5,4.1
25011,3.2,3.6
25013,4.4,5.0
25015,3.3,3.8
25017,3.0,3.5
25019,5.8,6.3
25021,3.1,3.6
25023,3.7,4.1
25025,3.4,3.9
25027,3.6,4.0
26001,7.8,8.7
26003,7.7,8.6
26005,3.6,4.1
26007,4.7,5.3
26009,5.2,5.6
26011,6.2,6.9
26013,6.2,7.1
26015,3.9,4.6
26017,5.0,5.5
26019,5.1,5.3
26021,4.1,5.0
26023,3.8,4.1
26025,4.3,5.2
26027,4.4,5.0
26029,4.4,4.8
26031,7.6,8.1
26033,5.6,6.4
26035,6.6,7.3
26037,3.3,3.9
26039,5.7,6.5
26041,5.5,6.1
26043,3.9,5.0
26045,3.6,4.4
26047,5.3,5.7
26049,4.9,5.6
26051,5.9,6.5
26053,5.0,6.0
26055,3.4,3.9
