fips_code,state,county,population,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status,_merge
18137,Indiana,Ripley,29039,9.6,19.4,71084,,,,,,left_only
18139,Indiana,Rush,16734,13.0,16.8,64393,,,,,,left_only
18143,Indiana,Scott,24468,14.7,12.4,54583,,,,,,left_only
18147,Indiana,Spencer,19871,6.6,21.2,70890,,,,,,left_only
18149,Indiana,Starke,23300,14.8,12.6,62933,,,,,,left_only
18153,Indiana,Sullivan,20766,13.5,14.3,54985,,,,,,left_only
18155,Indiana,Switzerland,9914,11.1,10.0,65148,,,,,,left_only
18159,Indiana,Tipton,15329,11.5,24.9,78309,,,,,,left_only
18161,Indiana,Union,7028,6.4,20.6,79500,,,,,,left_only
18165,Indiana,Vermillion,15452,13.3,17.2,59363,,,,,,left_only
18169,Indiana,Wabash,30901,10.7,21.6,68414,,,,,,left_only
18171,Indiana,Warren,8469,12.7,17.2,74635,,,,,,left_only
18177,Indiana,Wayne,66377,16.9,20.2,56652,,,,,,left_only
18181,Indiana,White,24709,10.0,18.3,66143,,,,,,left_only
18183,Indiana,Whitley,34388,10.7,22.8,75790,,,,,,left_only
19009,Iowa,Audubon,5622,11.8,20.6,54152,,,,,,left_only
19025,Iowa,Calhoun,9858,8.6,21.5,66875,,,,,,left_only
19053,Iowa,Decatur,7669,15.2,24.3,57146,,,,,,left_only
19059,Iowa,Dickinson,17844,6.3,32.3,74570,,,,,,left_only
19085,Iowa,Harrison,14645,7.5,21.2,77027,,,,,,left_only
19089,Iowa,Howard,9459,8.4,18.7,67336,,,,,,left_only
19109,Iowa,Kossuth,14610,9.6,22.2,65656,,,,,,left_only
19127,Iowa,Marshall,39971,11.1,21.4,72785,,,,,,left_only
19135,Iowa,Monroe,7546,9.2,20.0,72518,,,,,,left_only
19137,Iowa,Montgomery,10254,12.0,18.7,63190,,,,,,left_only
19159,Iowa,Ringgold,4664,9.0,25.2,69821,,,,,,left_only
19179,Iowa,Wapello,35265,16.7,19.4,60034,,,,,,left_only
19189,Iowa,Winnebago,10648,9.8,25.1,63719,,,,,,left_only
20019,Kansas,Chautauqua,3370,16.9,18.3,54592,,,,,,left_only
20029,Kansas,Cloud,8973,10.2,22.4,57333,,,,,,left_only
20033,Kansas,Comanche,1685,11.2,19.2,49417,,,,,,left_only
20039,Kansas,Decatur,2746,13.0,27.8,52030,,,,,,left_only
