state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
Colorado,Phillips,0.0,0.0,0.0,0.0,Non-Metro
Colorado,Pitkin,6.0,31.0,5.0,15.0,Non-Metro
Colorado,Prowers,10.0,45.0,12.0,40.0,Non-Metro
Colorado,Rio Blanco,1.0,17.0,1.0,11.0,Non-Metro
Colorado,Rio Grande,0.0,0.0,9.0,6.0,Non-Metro
Colorado,Routt,10.0,64.0,18.0,42.0,Non-Metro
Colorado,Saguache,3.0,48.0,8.0,44.0,Non-Metro
Colorado,San Miguel,3.0,7.0,3.0,2.0,Non-Metro
Colorado,Summit,29.0,161.0,30.0,150.0,Non-Metro
Colorado,Washington,2.0,42.0,9.0,43.0,Non-Metro
Colorado,Yuma,4.0,14.0,3.0,22.0,Non-Metro
Florida,Alachua,246.0,997.0,219.0,1205.0,Metro
Florida,Baker,102.0,174.0,79.0,174.0,Metro
Florida,Bay,291.0,1240.0,246.0,1146.0,Metro
Florida,Charlotte,222.0,1286.0,207.0,1392.0,Metro
Florida,Clay,465.0,1822.0,437.0,1750.0,Metro
Florida,Collier,617.0,2675.0,571.0,2636.0,Metro
Florida,Flagler,222.0,697.0,147.0,726.0,Metro
Florida,Hernando,444.0,1841.0,424.0,2109.0,Metro
Florida,Jefferson,32.0,127.0,34.0,67.0,Metro
Florida,Lee,1379.0,4976.0,1201.0,4575.0,Metro
Florida,Leon,342.0,1226.0,481.0,1751.0,Metro
Florida,Marion,797.0,2488.0,667.0,2370.0,Metro
Florida,Martin,283.0,1297.0,247.0,1163.0,Metro
Florida,Miami-Dade,5720.0,27468.0,4838.0,26623.0,Metro
Florida,Nassau,125.0,105.0,128.0,107.0,Metro
Florida,Palm Beach,1382.0,7299.0,1288.0,5926.0,Metro
Florida,Pinellas,401.0,2517.0,386.0,2268.0,Metro
Florida,Polk,1430.0,3950.0,1276.0,3095.0,Metro
Florida,Santa Rosa,233.0,1117.0,232.0,878.0,Metro
Florida,Sarasota,365.0,3007.0,349.0,2962.0,Metro
Florida,Seminole,420.0,1852.0,357.0,1453.0,Metro
Florida,Wakulla,25.0,113.0,56.0,244.0,Metro
Florida,Walton,115.0,364.0,120.0,399.0,Metro
Florida,Columbia,186.0,582.0,186.0,424.0,Non-Metro
Florida,Hardee,34.0,187.0,51.0,177.0,Non-Metro
Florida,Hendry,56.0,142.0,52.0,102.0,Non-Metro
Florida,Madison,67.0,168.0,37.0,132.0,Non-Metro
Florida,Monroe,161.0,381.0,125.0,392.0,Non-Metro
Florida,Okeechobee,115.0,506.0,116.0,421.0,Non-Metro
Florida,Putnam,44.0,401.0,41.0,355.0,Non-Metro
Florida,Taylor,55.0,117.0,53.0,161.0,Non-Metro
Georgia,Barrow,95.0,756.0,95.0,699.0,Metro
Georgia,Bartow,152.0,1020.0,64.0,922.0,Metro
Georgia,Brooks,23.0,80.0,10.0,96.0,Metro
Georgia,Bryan,22.0,173.0,20.0,209.0,Metro
Georgia,Burke,38.0,261.0,37.0,181.0,Metro
Georgia,Butts,23.0,150.0,32.0,119.0,Metro
Georgia,Carroll,116.0,731.0,97.0,485.0,Metro
Georgia,Catoosa,71.0,280.0,75.0,204.0,Metro
Georgia,Cherokee,173.0,851.0,180.0,776.0,Metro
Georgia,Clarke,0.0,0.0,0.0,0.0,Metro
Georgia,Columbia,113.0,1058.0,107.0,944.0,Metro
Georgia,Coweta,682.0,825.0,404.0,697.0,Metro
Georgia,Crawford,22.0,124.0,15.0,108.0,Metro
Georgia,Dawson,35.0,209.0,50.0,268.0,Metro
Georgia,DeKalb,23.0,0.0,20.0,0.0,Metro
Georgia,Dougherty,5.0,9.0,0.0,15.0,Metro
Georgia,Douglas,219.0,925.0,229.0,936.0,Metro
Georgia,Effingham,41.0,226.0,28.0,165.0,Metro
Georgia,Fayette,40.0,271.0,30.0,208.0,Metro
Georgia,Floyd,4.0,0.0,2.0,1.0,Metro
Georgia,Forsyth,156.0,1116.0,112.0,953.0,Metro
Georgia,Fulton,78.0,14.0,14.0,11.0,Metro
Georgia,Gwinnett,12.0,14.0,20.0,8.0,Metro
Georgia,Hall,302.0,1338.0,290.0,1139.0,Metro
Georgia,Haralson,43.0,291.0,59.0,276.0,Metro
Georgia,Harris,9.0,102.0,5.0,32.0,Metro
Georgia,Heard,7.0,95.0,7.0,83.0,Metro
Georgia,Henry,4.0,2.0,9.0,1.0,Metro
Georgia,Lanier,23.0,102.0,11.0,115.0,Metro
Georgia,Lee,63.0,255.0,35.0,224.0,Metro
Georgia,Lowndes,110.0,870.0,124.0,830.0,Metro
Georgia,Lumpkin,34.0,175.0,60.0,132.0,Metro
Georgia,Madison,57.0,267.0,75.0,194.0,Metro
Georgia,Marion,4.0,30.0,5.0,26.0,Metro
Georgia,McDuffie,44.0,148.0,29.0,126.0,Metro
Georgia,McIntosh,30.0,193.0,12.0,106.0,Metro
Georgia,Meriwether,31.0,104.0,41.0,123.0,Metro
Georgia,Monroe,10.0,31.0,9.0,37.0,Metro
Georgia,Murray,24.0,56.0,18.0,51.0,Metro
Georgia,Newton,277.0,1306.0,303.0,1016.0,Metro
Georgia,Oconee,24.0,593.0,28.0,511.0,Metro
Georgia,Paulding,580.0,1248.0,412.0,1132.0,Metro
Georgia,Peach,16.0,52.0,0.0,0.0,Metro
Georgia,Pickens,11.0,147.0,15.0,172.0,Metro
Georgia,Pike,21.0,102.0,18.0,68.0,Metro
Georgia,Rockdale,76.0,337.0,129.0,726.0,Metro
Georgia,Talbot,17.0,26.0,9.0,35.0,Metro
Georgia,Twiggs,7.0,62.0,11.0,69.0,Metro
Georgia,Walton,44.0,232.0,27.0,181.0,Metro
Georgia,Whitfield,322.0,745.0,277.0,772.0,Metro
Georgia,Worth,35.0,117.0,52.0,104.0,Metro
Georgia,Atkinson,9.0,48.0,13.0,36.0,Non-Metro
Georgia,Baldwin,99.0,444.0,108.0,437.0,Non-Metro
Georgia,Ben Hill,67.0,100.0,36.0,64.0,Non-Metro
Georgia,Berrien,29.0,114.0,25.0,124.0,Non-Metro
Georgia,Bleckley,15.0,86.0,12.0,85.0,Non-Metro
Georgia,Bulloch,31.0,253.0,28.0,223.0,Non-Metro
Georgia,Candler,12.0,63.0,25.0,57.0,Non-Metro
Georgia,Chattooga,19.0,208.0,30.0,221.0,Non-Metro
Georgia,Clay,16.0,17.0,10.0,25.0,Non-Metro
Georgia,Clinch,5.0,40.0,2.0,30.0,Non-Metro
Georgia,Coffee,73.0,304.0,54.0,300.0,Non-Metro
Georgia,Cook,13.0,120.0,7.0,90.0,Non-Metro
Georgia,Crisp,30.0,215.0,32.0,167.0,Non-Metro
Georgia,Decatur,41.0,169.0,42.0,149.0,Non-Metro
Georgia,Early,12.0,27.0,8.0,35.0,Non-Metro
Georgia,Fannin,42.0,186.0,28.0,151.0,Non-Metro
Georgia,Gilmer,76.0,202.0,62.0,174.0,Non-Metro
Georgia,Glascock,2.0,19.0,3.0,23.0,Non-Metro
Georgia,Gordon,67.0,291.0,58.0,230.0,Non-Metro
Georgia,Greene,8.0,58.0,16.0,76.0,Non-Metro
Georgia,Habersham,26.0,164.0,19.0,178.0,Non-Metro
Georgia,Hart,68.0,187.0,56.0,134.0,Non-Metro
Georgia,Irwin,7.0,67.0,8.0,49.0,Non-Metro
Georgia,Laurens,91.0,359.0,58.0,337.0,Non-Metro
Georgia,Mitchell,16.0,149.0,32.0,122.0,Non-Metro
Georgia,Pierce,32.0,142.0,25.0,102.0,Non-Metro
Georgia,Polk,2.0,1.0,6.0,0.0,Non-Metro
Georgia,Putnam,27.0,135.0,31.0,121.0,Non-Metro
Georgia,Rabun,9.0,92.0,14.0,77.0,Non-Metro
Georgia,Sumter,10.0,90.0,35.0,145.0,Non-Metro
Georgia,Tattnall,26.0,138.0,16.0,122.0,Non-Metro
Georgia,Thomas,60.0,331.0,32.0,310.0,Non-Metro
Georgia,Tift,153.0,463.0,171.0,484.0,Non-Metro
Georgia,Troup,56.0,456.0,57.0,397.0,Non-Metro
Georgia,Turner,10.0,38.0,1.0,39.0,Non-Metro
Georgia,Union,15.0,108.0,8.0,66.0,Non-Metro
Georgia,Upson,11.0,49.0,6.0,32.0,Non-Metro
Georgia,Ware,30.0,113.0,41.0,146.0,Non-Metro
Georgia,White,7.0,170.0,11.0,102.0,Non-Metro
Georgia,Wilkes,55.0,141.0,36.0,93.0,Non-Metro
Idaho,Ada,257.0,482.0,216.0,538.0,Metro
Idaho,Boise,20.0,19.0,22.0,13.0,Metro
Idaho,Bonneville,133.0,567.0,139.0,523.0,Metro
Idaho,Canyon,125.0,250.0,167.0,193.0,Metro
Idaho,Franklin,0.0,15.0,6.0,9.0,Metro
Idaho,Jefferson,10.0,117.0,11.0,94.0,Metro
Idaho,Jerome,64.0,67.0,52.0,84.0,Metro
Idaho,Kootenai,119.0,506.0,118.0,459.0,Metro
Idaho,Nez Perce,5.0,36.0,9.0,33.0,Metro
Idaho,Twin Falls,62.0,97.0,40.0,68.0,Metro
Idaho,Adams,4.0,36.0,7.0,42.0,Non-Metro
Idaho,Bear Lake,1.0,10.0,0.0,6.0,Non-Metro
Idaho,Benewah,28.0,56.0,34.0,60.0,Non-Metro
Idaho,Bingham,51.0,104.0,39.0,137.0,Non-Metro
Idaho,Blaine,21.0,17.0,12.0,21.0,Non-Metro
Idaho,Bonner,39.0,255.0,35.0,203.0,Non-Metro
Idaho,Boundary,16.0,33.0,26.0,23.0,Non-Metro
Idaho,Cassia,24.0,232.0,42.0,163.0,Non-Metro
Idaho,Custer,1.0,32.0,2.0,7.0,Non-Metro
Idaho,Elmore,24.0,22.0,16.0,46.0,Non-Metro
