state,2024_metro_status,county,2024_violent_crime,2024_property_crime
Illinois,Metro,Sangamon,156.0,720.0
Illinois,Metro,St. Clair,97.0,270.0
Illinois,Metro,Tazewell,29.0,214.0
Illinois,Metro,Will,164.0,563.0
Illinois,Metro,Winnebago,131.0,269.0
Illinois,Non-Metro,Adams,25.0,175.0
Illinois,Non-Metro,Brown,0.0,0.0
Illinois,Non-Metro,Bureau,2.0,94.0
Illinois,Non-Metro,Carroll,0.0,25.0
Illinois,Non-Metro,Cass,1.0,1.0
Illinois,Non-Metro,Clark,2.0,51.0
Illinois,Non-Metro,Coles,14.0,75.0
Illinois,Non-Metro,Crawford,5.0,19.0
Illinois,Non-Metro,Cumberland,3.0,0.0
Illinois,Non-Metro,DeWitt,10.0,47.0
Illinois,Non-Metro,Edgar,8.0,28.0
Illinois,Non-Metro,Edwards,2.0,1.0
Illinois,Non-Metro,Effingham,11.0,92.0
Illinois,Non-Metro,Fayette,7.0,43.0
Illinois,Non-Metro,Franklin,23.0,88.0
Illinois,Non-Metro,Greene,4.0,13.0
Illinois,Non-Metro,Hamilton,4.0,6.0
Illinois,Non-Metro,Hancock,8.0,6.0
Illinois,Non-Metro,Henderson,0.0,6.0
Illinois,Non-Metro,Iroquois,31.0,114.0
Illinois,Non-Metro,Jackson,39.0,198.0
Illinois,Non-Metro,Jasper,3.0,39.0
Illinois,Non-Metro,Jefferson,15.0,117.0
Illinois,Non-Metro,Jo Daviess,6.0,55.0
Illinois,Non-Metro,Knox,37.0,146.0
Illinois,Non-Metro,La Salle,34.0,120.0
Illinois,Non-Metro,Lawrence,9.0,8.0
Illinois,Non-Metro,Livingston,22.0,43.0
Illinois,Non-Metro,Logan,16.0,116.0
Illinois,Non-Metro,Marion,34.0,112.0
Illinois,Non-Metro,Mason,4.0,2.0
Illinois,Non-Metro,Montgomery,14.0,74.0
Illinois,Non-Metro,Morgan,2.0,19.0
Illinois,Non-Metro,Moultrie,8.0,10.0
Illinois,Non-Metro,Ogle,11.0,91.0
Illinois,Non-Metro,Perry,5.0,13.0
Illinois,Non-Metro,Pike,6.0,15.0
Illinois,Non-Metro,Pulaski,4.0,16.0
Illinois,Non-Metro,Putnam,0.0,8.0
Illinois,Non-Metro,Randolph,0.0,3.0
Illinois,Non-Metro,Richland,8.0,66.0
Illinois,Non-Metro,Saline,19.0,62.0
Illinois,Non-Metro,Scott,1.0,7.0
Illinois,Non-Metro,Shelby,11.0,40.0
Illinois,Non-Metro,Stephenson,22.0,81.0
Illinois,Non-Metro,Vermilion,80.0,400.0
Illinois,Non-Metro,Warren,11.0,57.0
Illinois,Non-Metro,Wayne,10.0,70.0
Illinois,Non-Metro,White,3.0,60.0
Illinois,Non-Metro,Whiteside,11.0,115.0
Indiana,Metro,Allen,104.0,634.0
Indiana,Metro,Bartholomew,0.0,23.0
Indiana,Metro,Brown,18.0,81.0
Indiana,Metro,Clark,31.0,179.0
Indiana,Metro,Clay,14.0,40.0
Indiana,Metro,Delaware,22.0,184.0
Indiana,Metro,Elkhart,127.0,805.0
Indiana,Metro,Floyd,27.0,100.0
Indiana,Metro,Franklin,3.0,66.0
Indiana,Metro,Hamilton,27.0,99.0
Indiana,Metro,Hancock,46.0,118.0
Indiana,Metro,Harrison,85.0,149.0
Indiana,Metro,Hendricks,33.0,410.0
Indiana,Metro,Howard,41.0,100.0
Indiana,Metro,Johnson,17.0,208.0
Indiana,Metro,Lake,47.0,175.0
Indiana,Metro,Madison,30.0,151.0
Indiana,Metro,Monroe,21.0,377.0
Indiana,Metro,Porter,29.0,82.0
Indiana,Metro,Posey,27.0,52.0
Indiana,Metro,Shelby,78.0,95.0
Indiana,Metro,St. Joseph,109.0,645.0
Indiana,Metro,Tippecanoe,100.0,261.0
Indiana,Metro,Vanderburgh,204.0,451.0
Indiana,Metro,Vigo,90.0,524.0
Indiana,Metro,Warrick,200.0,341.0
Indiana,Metro,Washington,17.0,59.0
Indiana,Metro,Wells,8.0,8.0
Indiana,Non-Metro,Adams,5.0,25.0
Indiana,Non-Metro,Clinton,8.0,36.0
Indiana,Non-Metro,Decatur,16.0,24.0
Indiana,Non-Metro,DeKalb,20.0,45.0
Indiana,Non-Metro,Gibson,32.0,113.0
Indiana,Non-Metro,Grant,8.0,92.0
Indiana,Non-Metro,Henry,2.0,84.0
Indiana,Non-Metro,Jackson,4.0,17.0
Indiana,Non-Metro,Jay,0.0,13.0
Indiana,Non-Metro,Jennings,16.0,59.0
Indiana,Non-Metro,Knox,37.0,69.0
Indiana,Non-Metro,Kosciusko,79.0,237.0
Indiana,Non-Metro,Lawrence,45.0,40.0
Indiana,Non-Metro,Montgomery,14.0,121.0
Indiana,Non-Metro,Noble,15.0,102.0
Indiana,Non-Metro,Perry,15.0,29.0
Indiana,Non-Metro,Steuben,8.0,155.0
Iowa,Metro,Benton,24.0,69.0
Iowa,Metro,Black Hawk,7.0,97.0
Iowa,Metro,Boone,11.0,16.0
Iowa,Metro,Bremer,8.0,18.0
Iowa,Metro,Dallas,42.0,47.0
Iowa,Metro,Dubuque,42.0,98.0
Iowa,Metro,Grundy,13.0,38.0
Iowa,Metro,Guthrie,5.0,20.0
Iowa,Metro,Jasper,6.0,67.0
Iowa,Metro,Johnson,52.0,121.0
Iowa,Metro,Jones,5.0,25.0
Iowa,Metro,Linn,31.0,118.0
Iowa,Metro,Madison,21.0,22.0
Iowa,Metro,Mills,7.0,50.0
Iowa,Metro,Polk,63.0,593.0
Iowa,Metro,Pottawattamie,38.0,128.0
Iowa,Metro,Scott,30.0,154.0
Iowa,Metro,Story,11.0,65.0
Iowa,Metro,Warren,31.0,68.0
Iowa,Metro,Washington,32.0,60.0
Iowa,Metro,Woodbury,30.0,63.0
Iowa,Non-Metro,Adair,0.0,12.0
Iowa,Non-Metro,Adams,1.0,2.0
Iowa,Non-Metro,Allamakee,7.0,15.0
Iowa,Non-Metro,Appanoose,2.0,52.0
Iowa,Non-Metro,Buchanan,22.0,45.0
Iowa,Non-Metro,Buena Vista,9.0,26.0
Iowa,Non-Metro,Butler,2.0,12.0
Iowa,Non-Metro,Carroll,3.0,4.0
Iowa,Non-Metro,Cass,5.0,47.0
Iowa,Non-Metro,Cedar,11.0,35.0
Iowa,Non-Metro,Cerro Gordo,5.0,30.0
Iowa,Non-Metro,Cherokee,1.0,4.0
Iowa,Non-Metro,Chickasaw,6.0,19.0
Iowa,Non-Metro,Clarke,4.0,19.0
Iowa,Non-Metro,Clay,2.0,11.0
