fips_code,state,county,population,metro_status,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2024_violent_crime,2023_property_crime,2024_property_crime,2023_unemployment_rate,2024_unemployment_rate,_merge
31175,,,,,,,,,,,,2.0,2.1,right_only
31177,,,,,,,,,,,,2.2,2.5,right_only
31179,,,,,,,,,,,,2.0,2.4,right_only
31181,,,,,,,,,,,,2.2,2.5,right_only
31183,,,,,,,,,,,,2.6,2.4,right_only
32003,,,,,,,,,,,,5.3,5.6,right_only
32009,,,,,,,,,,,,5.8,7.5,right_only
32017,,,,,,,,,,,,5.3,5.1,right_only
32027,,,,,,,,,,,,5.4,5.3,right_only
32029,,,,,,,,,,,,5.7,5.9,right_only
32510,,,,,,,,,,,,4.4,4.5,right_only
33007,,,,,,,,,,,,2.7,2.7,right_only
33009,,,,,,,,,,,,2.0,2.2,right_only
33011,,,,,,,,,,,,2.4,2.8,right_only
33019,,,,,,,,,,,,2.1,2.3,right_only
34027,,,,,,,,,,,,3.5,3.8,right_only
34029,,,,,,,,,,,,4.4,4.7,right_only
34039,,,,,,,,,,,,4.5,4.9,right_only
35003,,,,,,,,,,,,5.4,5.4,right_only
35006,,,,,,,,,,,,4.9,5.4,right_only
35007,,,,,,,,,,,,3.5,4.2,right_only
35013,,,,,,,,,,,,4.3,4.9,right_only
35015,,,,,,,,,,,,2.8,3.3,right_only
35017,,,,,,,,,,,,3.9,4.2,right_only
35021,,,,,,,,,,,,3.0,3.1,right_only
35027,,,,,,,,,,,,3.3,4.3,right_only
35028,,,,,,,,,,,,1.6,1.8,right_only
35029,,,,,,,,,,,,10.3,12.2,right_only
35035,,,,,,,,,,,,3.9,4.3,right_only
35037,,,,,,,,,,,,3.5,4.0,right_only
35039,,,,,,,,,,,,3.7,4.1,right_only
35041,,,,,,,,,,,,3.4,3.8,right_only
35043,,,,,,,,,,,,3.4,3.8,right_only
35047,,,,,,,,,,,,4.5,4.7,right_only
35051,,,,,,,,,,,,5.7,5.9,right_only
35055,,,,,,,,,,,,4.3,4.6,right_only
35059,,,,,,,,,,,,3.4,3.7,right_only
36001,,,,,,,,,,,,3.1,3.3,right_only
36003,,,,,,,,,,,,4.2,4.4,right_only
36005,,,,,,,,,,,,6.6,6.6,right_only
36011,,,,,,,,,,,,3.5,3.7,right_only
36017,,,,,,,,,,,,3.4,3.4,right_only
36019,,,,,,,,,,,,3.4,3.8,right_only
36021,,,,,,,,,,,,3.0,3.1,right_only
36031,,,,,,,,,,,,3.5,3.4,right_only
36033,,,,,,,,,,,,3.7,3.8,right_only
36041,,,,,,,,,,,,5.0,5.1,right_only
36047,,,,,,,,,,,,5.1,5.1,right_only
36061,,,,,,,,,,,,4.5,4.6,right_only
36071,,,,,,,,,,,,3.5,3.7,right_only
36073,,,,,,,,,,,,3.6,3.8,right_only
36081,,,,,,,,,,,,4.4,4.5,right_only
36085,,,,,,,,,,,,4.6,4.5,right_only
36087,,,,,,,,,,,,3.0,3.2,right_only
36115,,,,,,,,,,,,3.2,3.4,right_only
36119,,,,,,,,,,,,3.0,3.3,right_only
37005,,,,,,,,,,,,4.2,3.7,right_only
37013,,,,,,,,,,,,3.9,3.7,right_only
37015,,,,,,,,,,,,4.7,4.8,right_only
37035,,,,,,,,,,,,3.4,3.6,right_only
37047,,,,,,,,,,,,4.1,4.4,right_only
37051,,,,,,,,,,,,4.5,4.5,right_only
37057,,,,,,,,,,,,3.5,3.7,right_only
37061,,,,,,,,,,,,3.3,3.3,right_only
37063,,,,,,,,,,,,3.1,3.1,right_only
37069,,,,,,,,,,,,3.3,3.3,right_only
37075,,,,,,,,,,,,3.5,3.5,right_only
37079,,,,,,,,,,,,3.0,3.1,right_only
37095,,,,,,,,,,,,6.1,5.6,right_only
37099,,,,,,,,,,,,3.6,3.4,right_only
37103,,,,,,,,,,,,3.6,3.7,right_only
37107,,,,,,,,,,,,3.9,4.0,right_only
37113,,,,,,,,,,,,3.3,3.4,right_only
37119,,,,,,,,,,,,3.5,3.7,right_only
37121,,,,,,,,,,,,3.3,4.6,right_only
37127,,,,,,,,,,,,4.5,4.5,right_only
37131,,,,,,,,,,,,4.7,4.5,right_only
37133,,,,,,,,,,,,3.7,3.8,right_only
37151,,,,,,,,,,,,3.5,3.5,right_only
37167,,,,,,,,,,,,3.1,3.1,right_only
37169,,,,,,,,,,,,3.2,3.4,right_only
37171,,,,,,,,,,,,3.2,3.3,right_only
37181,,,,,,,,,,,,4.6,4.4,right_only
37187,,,,,,,,,,,,5.0,4.5,right_only
38001,,,,,,,,,,,,1.9,2.3,right_only
38005,,,,,,,,,,,,3.0,3.3,right_only
38009,,,,,,,,,,,,2.5,2.9,right_only
38011,,,,,,,,,,,,1.4,1.9,right_only
38013,,,,,,,,,,,,1.7,2.3,right_only
38021,,,,,,,,,,,,1.8,2.1,right_only
38023,,,,,,,,,,,,1.6,2.4,right_only
38027,,,,,,,,,,,,2.8,2.7,right_only
38031,,,,,,,,,,,,1.7,1.9,right_only
38033,,,,,,,,,,,,1.6,1.9,right_only
38037,,,,,,,,,,,,1.9,1.9,right_only
38039,,,,,,,,,,,,1.9,2.3,right_only
38041,,,,,,,,,,,,1.9,2.4,right_only
38043,,,,,,,,,,,,3.6,3.7,right_only
38045,,,,,,,,,,,,1.8,2.2,right_only
38047,,,,,,,,,,,,2.4,2.4,right_only
38063,,,,,,,,,,,,2.4,2.3,right_only
38065,,,,,,,,,,,,3.4,3.8,right_only
38069,,,,,,,,,,,,2.7,2.9,right_only
38071,,,,,,,,,,,,2.1,2.2,right_only
38075,,,,,,,,,,,,1.9,2.1,right_only
38085,,,,,,,,,,,,2.4,2.9,right_only
38087,,,,,,,,,,,,2.9,3.1,right_only
38091,,,,,,,,,,,,2.3,3.1,right_only
38103,,,,,,,,,,,,2.7,2.7,right_only
39011,,,,,,,,,,,,2.8,3.7,right_only
39015,,,,,,,,,,,,4.1,5.1,right_only
39019,,,,,,,,,,,,4.2,4.9,right_only
39023,,,,,,,,,,,,3.8,4.8,right_only
39035,,,,,,,,,,,,3.8,3.9,right_only
39051,,,,,,,,,,,,3.8,4.9,right_only
39055,,,,,,,,,,,,3.1,3.3,right_only
39059,,,,,,,,,,,,4.8,5.6,right_only
39065,,,,,,,,,,,,3.7,4.5,right_only
39073,,,,,,,,,,,,4.0,4.8,right_only
39077,,,,,,,,,,,,4.5,5.3,right_only
39081,,,,,,,,,,,,4.9,5.9,right_only
39083,,,,,,,,,,,,3.5,4.2,right_only
39085,,,,,,,,,,,,3.4,3.6,right_only
39087,,,,,,,,,,,,4.1,5.0,right_only
39089,,,,,,,,,,,,3.4,4.2,right_only
39091,,,,,,,,,,,,3.2,4.1,right_only
39093,,,,,,,,,,,,3.9,4.0,right_only
39101,,,,,,,,,,,,3.6,4.5,right_only
39119,,,,,,,,,,,,3.9,4.7,right_only
39121,,,,,,,,,,,,5.5,6.6,right_only
39123,,,,,,,,,,,,5.2,6.2,right_only
39137,,,,,,,,,,,,2.9,3.6,right_only
39143,,,,,,,,,,,,3.9,4.8,right_only
39169,,,,,,,,,,,,3.2,3.9,right_only
39171,,,,,,,,,,,,3.5,4.5,right_only
39175,,,,,,,,,,,,3.0,4.0,right_only
41011,,,,,,,,,,,,4.6,5.0,right_only
41015,,,,,,,,,,,,5.1,5.8,right_only
41023,,,,,,,,,,,,5.3,6.0,right_only
41025,,,,,,,,,,,,4.3,4.6,right_only
41037,,,,,,,,,,,,5.2,5.2,right_only
41045,,,,,,,,,,,,3.9,4.1,right_only
41063,,,,,,,,,,,,4.6,4.6,right_only
41069,,,,,,,,,,,,3.3,3.8,right_only
42001,,,,,,,,,,,,3.0,3.2,right_only
42005,,,,,,,,,,,,4.3,4.5,right_only
42007,,,,,,,,,,,,4.3,4.1,right_only
42009,,,,,,,,,,,,3.9,4.0,right_only
42011,,,,,,,,,,,,3.7,3.9,right_only
42013,,,,,,,,,,,,3.7,3.7,right_only
42017,,,,,,,,,,,,3.3,3.5,right_only
